StartDate,EndDate,Q4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,ConfRfor,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,ConfRag,MoreInfoPro_1,MoreInfCon_1,Int_100_ave,Att_Ave,SN_Ave,PC_Ave,MacroReasoning_3_items_standardized_Ave,SN_general_Ave,SN_work_Ave,ProReas,ConReas,CounterThePros,CounterTheCons,ProReasFilledw0,ConReasFilledw0,CountertheProsFilledw0,CountertheConsFilledw0,ProFilledw0_minus_conFilledw0,CounterCons_minus_CounterPros
10/27/21 12:57,10/27/21 13:03,always adhere to every CDC Covid-19 recommendation at work,it keeps me safe,I can stop from bringing something home to my kids,It is the right thing to do, , , , , , , ,3, , , , , , , , , , ,4,0, ,66.33333333,5,3.285714286,4.666666667,-0.084335037,4.333333333,2.5,7, ,0, ,7,0,0,0,7,0
10/27/21 13:09,10/27/21 13:18,always adhere to every CDC Covid-19 recommendation at work,required by job, , , , , , , , , ,4,masks are annoying,masks don't help,too much disinfectant creates weak immune systems,too much disinfectant makes stronger germs, , , , , , ,4,0,10,64,5,4.285714286,4.333333333,-2.13665636,4,4.5,4,12, ,1,4,12,0,1,-8,1
10/27/21 23:01,10/27/21 23:17,always adhere to every CDC Covid-19 recommendation at work,So I don't get sick.,I don't want to make anyone else sick,Because it's the smart thing to do,Because I don't want to die from complications of covid 19, , , , , , ,4, , , , , , , , , , , ,0, ,69,5,5,4.666666667,0.747679745,5,5,16, , , ,16,0,0,0,16,0
10/28/21 16:30,10/28/21 16:36,always adhere to every CDC Covid-19 recommendation at work,saves other's life by preventing spread,save my life,added benefit of preventing common illness like cold, , , , , , , ,4, , , , , , , , , , ,4,0, ,69,5,5,5,0.747679745,5,5,10, , , ,10,0,0,0,10,0
10/27/21 12:45,10/27/21 12:51,always adhere to every CDC Covid-19 recommendation at work,to prevent the spread of COVID-19,to kept myself protected from COVID-19, , , , , , , , ,3, , , , , , , , , , ,3,0, ,62,3.666666667,4,4.666666667,-0.084335037,4,4,5, , , ,5,0,0,0,5,0
10/28/21 22:14,10/28/21 23:15,always adhere to every CDC Covid-19 recommendation at work,to keep me safe,to keep my co workers safe,to follow prtocool,to not stand out and be a pain, , , , , , ,4,it is uncomfortable, , , , , , , , , ,4,26,10,63,5,5,4.333333333,0.547650658,5,5,10,0,0, ,10,0,0,0,10,0
10/28/21 8:37,10/28/21 8:55,always adhere to every CDC Covid-19 recommendation at work,Protect myself from infection,Protect my family from infection, Protect others from infection,Not cause unnecessary issues at work,Set an example for others as I am in a leadership position, , , , , ,4,Overkill in prevention,"Others don't follow procedure, limiting effectiveness of me complying",Change in habits,Uncomfortable,Inconvenient, , , , , ,3,5,63,65,4.333333333,3.857142857,4,0.223787269,3.666666667,4,15,9,1,8,15,9,1,8,6,7
10/28/21 9:56,10/28/21 10:16,always adhere to every CDC Covid-19 recommendation at work,To not spread COVID,To avoid catching COVID,Safety,Keeping my job,Respect for others, , , , , ,3,I can not perform my job 6 feet away from others, , , , , , , , , ,4,0,0,65,4.333333333,3.428571429,4,-1.720857104,2.666666667,4,17,4,4, ,17,4,4,0,13,-4
10/27/21 15:20,10/27/21 15:32,always adhere to every CDC Covid-19 recommendation at work,to prevent from getting sick,to avoid getting others sick,to avoid getting my family sick,to be able to continue to work,so I do not have to quarantine, , , , , ,3,time consuming,costly,annoying,makes me tired,over it, , , , , ,3,0,0,54.66666667,4,4,3,-0.472626795,4,4,20,14,4, ,20,14,4,0,6,-4
10/28/21 18:00,10/28/21 18:14,always adhere to every CDC Covid-19 recommendation at work,protect myself,protect others,helps guard against other diseases/viruses, , , , , , , ,3,too busy,too much of a hassle,not enough time,not sure about validity of vaccines, , , , , , ,4,22,60,56.66666667,3.333333333,3.714285714,3.333333333,-0.472626795,4,3.5,9,13,1,7,9,13,1,7,-4,6
